acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,0.002,9.79,0.001,0.006,0.002
0.015,0.006,9.787,0.003,-0.007,0.001
-0.011,-0.008,9.803,-0.003,-0.0,0.022
-0.006,-0.001,9.808,0.001,0.009,-0.008
-0.01,0.011,9.796,0.002,0.007,-0.003
0.006,0.004,9.793,-0.004,0.008,-0.011
-0.005,-0.013,9.819,-0.014,0.005,0.016
-0.011,-0.006,9.798,0.018,0.009,0.004
0.011,0.02,9.781,-0.009,-0.022,-0.015
0.008,-0.005,9.799,0.012,0.006,0.0
0.001,0.003,9.809,0.003,0.005,0.012
0.008,0.009,9.794,0.001,0.009,0.003
-0.002,0.005,9.806,0.009,0.004,-0.003
-0.01,0.001,9.812,-0.01,-0.001,-0.015
0.017,-0.001,9.799,0.003,0.024,0.007
0.002,0.008,9.801,0.005,0.011,-0.006
0.02,0.005,9.804,-0.039,0.024,-0.005
0.019,0.005,17.436,-0.016,0.001,0.015
0.001,0.012,22.16,0.042,0.009,-0.008
0.016,0.007,22.145,-0.044,0.015,-0.015
-0.01,0.001,17.409,-0.002,0.035,0.019
-0.007,0.001,-0.294,0.008,0.018,-0.007
-0.007,-0.002,5.808,0.008,0.019,0.008
-0.015,0.018,2.167,-0.048,0.007,0.008
0.008,-0.011,-0.726,0.001,-0.023,0.014
0.016,-0.024,-2.56,0.013,-0.022,-0.004
0.011,-0.006,-3.215,0.026,0.002,-0.009
0.01,-0.001,-2.569,-0.006,0.014,0.016
-0.009,0.0,-0.732,-0.003,-0.015,0.007
-0.004,0.018,2.145,-0.025,-0.011,-0.016
0.006,-0.007,5.777,0.006,-0.005,0.002
-0.003,0.002,9.794,0.01,0.007,-0.004
-0.017,-0.007,9.806,0.016,0.004,-0.004
0.008,-0.01,9.804,0.008,0.001,-0.015
0.002,0.003,9.795,-0.011,-0.01,0.014
0.006,0.002,9.79,-0.002,-0.005,0.009
-0.001,0.009,9.795,-0.01,-0.018,0.008
-0.011,-0.011,9.801,-0.009,-0.01,-0.005
-0.019,-0.005,9.806,-0.0,-0.0,0.004
0.002,0.005,9.791,0.009,0.024,-0.01
-0.0,0.013,9.807,0.008,-0.003,-0.008
-0.007,-0.019,9.811,-0.009,0.004,0.015
-0.001,-0.01,9.8,0.01,0.004,-0.012
0.001,0.002,9.801,-0.0,0.002,0.013
-0.005,0.019,9.805,-0.005,-0.002,0.01
-0.011,0.0,9.795,0.002,0.004,0.001
0.003,-0.013,9.797,-0.006,-0.007,0.003
-0.001,-0.008,9.803,-0.003,-0.008,0.001
-0.009,-0.009,9.795,0.012,0.02,-0.002
-0.01,0.02,9.792,-0.011,0.013,0.002
