acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.009,0.297,9.806,0.004,0.118,-0.001
0.055,0.3,9.823,0.007,0.116,0.015
0.122,0.282,9.85,0.022,0.106,-0.008
0.177,0.285,9.876,0.04,0.074,0.002
0.255,0.259,9.895,0.057,0.102,-0.002
0.281,0.251,9.916,0.07,0.084,0.004
0.351,0.226,9.928,0.085,0.07,-0.002
0.392,0.172,9.967,0.069,0.056,0.003
0.426,0.16,9.957,0.079,0.043,0.017
0.458,0.132,9.972,0.105,0.046,0.002
0.491,0.104,9.993,0.079,0.034,-0.007
0.494,0.06,9.998,0.107,0.023,0.002
0.521,0.008,10.009,0.099,-0.001,0.028
0.501,-0.026,9.996,0.113,0.011,-0.018
0.497,-0.053,10.001,0.09,-0.033,0.014
0.485,-0.093,9.987,0.074,-0.033,0.004
0.457,-0.15,9.987,0.1,-0.035,-0.011
0.425,-0.167,9.962,0.099,-0.046,-0.002
0.369,-0.186,9.957,0.083,-0.066,-0.002
0.335,-0.214,9.931,0.068,-0.067,0.012
0.279,-0.226,9.92,0.057,-0.068,0.014
0.242,-0.258,9.898,0.054,-0.087,-0.003
0.175,-0.282,9.863,0.018,-0.08,-0.006
0.118,-0.305,9.853,0.025,-0.106,0.0
0.039,-0.315,9.836,0.015,-0.098,0.019
0.002,-0.312,9.809,0.002,-0.116,-0.003
-0.062,-0.311,9.763,0.003,-0.113,0.014
-0.114,-0.274,9.751,-0.03,-0.11,0.0
-0.2,-0.297,9.712,-0.018,-0.075,0.0
-0.259,-0.282,9.7,-0.051,-0.073,-0.001
-0.291,-0.233,9.682,-0.062,-0.072,-0.008
-0.344,-0.227,9.672,-0.058,-0.043,0.003
-0.365,-0.199,9.656,-0.066,-0.058,-0.001
-0.42,-0.159,9.631,-0.077,-0.051,-0.015
-0.451,-0.115,9.628,-0.099,-0.037,0.01
-0.481,-0.102,9.592,-0.099,-0.024,-0.014
-0.498,-0.07,9.616,-0.1,0.006,0.002
-0.513,-0.004,9.603,-0.123,0.003,-0.016
-0.491,0.024,9.609,-0.102,0.011,-0.004
-0.481,0.058,9.603,-0.095,0.028,0.009
-0.473,0.117,9.615,-0.1,0.037,-0.003
-0.442,0.125,9.608,-0.093,0.04,0.015
-0.442,0.171,9.623,-0.086,0.039,0.009
-0.397,0.219,9.652,-0.074,0.072,-0.011
-0.347,0.215,9.669,-0.076,0.066,0.006
-0.299,0.242,9.679,-0.057,0.079,-0.002
-0.25,0.278,9.699,-0.058,0.079,-0.004
-0.186,0.281,9.721,-0.022,0.09,-0.006
-0.131,0.295,9.733,-0.029,0.086,-0.006
-0.06,0.288,9.774,-0.006,0.105,0.006
