acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.008,-0.002,9.799,0.005,-0.002,-0.006
-0.004,0.013,9.796,0.01,-0.005,0.011
-0.017,-0.005,9.794,-0.004,-0.009,0.015
0.019,0.012,9.789,-0.012,0.009,-0.001
0.003,-0.003,9.79,-0.016,0.013,0.005
0.017,-0.011,9.794,-0.001,-0.014,-0.002
0.008,0.006,9.79,0.021,-0.003,0.017
0.01,0.014,9.809,0.019,-0.011,0.006
0.011,-0.002,9.788,-0.007,-0.014,0.005
0.004,-0.002,9.814,0.007,-0.01,-0.004
-0.009,0.012,9.796,-0.008,-0.018,0.007
-0.006,-0.001,9.797,-0.002,0.005,0.016
0.006,0.007,9.413,0.011,0.011,0.002
0.014,0.002,9.047,0.005,0.006,0.014
0.009,-0.005,8.73,0.001,0.011,-0.012
-0.008,0.02,8.503,-0.005,0.019,0.004
-0.003,0.005,8.35,-0.003,0.015,-0.003
-0.002,0.021,8.301,-0.007,-0.009,0.005
0.009,0.009,8.35,-0.007,-0.014,0.002
-0.016,-0.014,8.49,-0.014,0.002,0.016
-0.011,-0.022,8.734,-0.001,0.006,0.002
0.003,0.002,9.06,0.004,0.006,-0.008
-0.011,0.011,9.405,0.001,0.014,0.011
0.006,0.022,8.642,-0.004,-0.005,0.005
0.004,-0.003,10.04,0.017,0.0,-0.006
0.018,0.02,10.256,-0.019,0.004,-0.005
0.008,0.018,10.492,-0.013,0.002,0.004
0.009,0.008,10.673,0.003,0.001,-0.001
0.001,0.015,10.869,0.006,0.009,-0.015
0.018,0.013,11.002,0.022,0.005,-0.001
-0.002,-0.011,11.133,-0.004,0.013,-0.004
-0.009,0.008,11.223,-0.026,0.005,0.013
-0.005,-0.007,11.266,-0.009,0.003,0.011
-0.002,-0.008,11.308,0.005,0.004,0.005
0.01,0.004,11.308,-0.005,-0.014,0.01
0.0,0.004,11.222,-0.012,-0.011,-0.006
-0.011,0.013,11.136,0.013,0.01,0.003
0.001,-0.009,11.02,0.008,-0.016,0.011
0.006,-0.001,10.85,-0.002,0.007,-0.009
0.011,0.006,10.675,0.006,0.003,0.007
-0.002,-0.008,10.474,-0.012,0.005,0.014
-0.008,0.002,10.243,0.0,-0.007,0.015
-0.008,0.01,10.042,0.01,0.001,-0.001
0.01,-0.01,9.788,0.011,0.009,-0.017
0.018,0.01,9.8,0.009,0.001,0.005
-0.004,0.002,9.794,-0.004,0.011,-0.015
0.005,-0.002,9.794,-0.023,-0.0,-0.007
-0.007,0.013,9.786,0.001,0.007,0.013
-0.004,-0.004,9.805,0.004,-0.004,0.001
0.007,0.002,9.796,0.011,0.003,-0.013
